resume_text,job_description,match_score
"Mobile Developer with 4 years of experience. Proficient in swift, flutter, ios, react native, firebase. Also skilled in kotlin, mobile, android. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","Mobile Developer position. Looking for 4+ years of experience. Required skills: react native, mobile, firebase, flutter. Must have strong technical abilities. Remote work. Competitive salary and benefits.",91.58
"Data Scientist with 7 years of experience. Proficient in deep learning, numpy, sql, pandas, pytorch. Also skilled in machine learning, statistics, tensorflow. Built multiple projects and worked in enterprise environment. Strong communication skills.","Data Scientist position. Looking for 4+ years of experience. Required skills: deep learning, machine learning, numpy, python, sql, statistics, pandas, tensorflow. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",89.5
"Software Engineer with 7 years of experience. Proficient in git, api, javascript, python, django. Also skilled in spring, sql, react. Built multiple projects and worked in agile environment. Strong communication skills.","Software Engineer position. Looking for 5+ years of experience. Required skills: python, spring, sql, javascript, node.js, git, react. Must have strong technical abilities. Hybrid work. Competitive salary and benefits.",87.88
"Backend with 6 years of experience. Proficient in node.js, redis, postgresql, java, python. Also skilled in sql, rest api, mongodb. Built multiple projects and worked in startup environment. Strong teamwork skills.","Backend Developer position. Looking for 6+ years of experience. Required skills: java, node.js, mongodb, python, postgresql, rest api. Must have strong analytical abilities. Remote work. Competitive salary and benefits.",88.41
"Software Engineer with 2 years of experience. Proficient in java, react, node.js, api, django. Also skilled in javascript, spring, git, sql, python. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Software Engineer position. Looking for 3+ years of experience. Required skills: javascript, node.js, django, java, sql, python, spring, react. Must have strong leadership abilities. On-site work. Competitive salary and benefits.",77.68
"Frontend with 6 years of experience. Proficient in javascript, css, typescript, sass, react. Also skilled in angular, html, vue. Built multiple projects and worked in enterprise environment. Strong problem-solving skills.","Frontend Developer position. Looking for 5+ years of experience. Required skills: typescript, javascript, css, webpack, react, html. Must have strong technical abilities. Remote work. Competitive salary and benefits.",80.12
"Qa Engineer with 6 years of experience. Proficient in automation, pytest, quality assurance, selenium, api testing. Also skilled in cypress, junit. Built multiple projects and worked in enterprise environment. Strong teamwork skills.","QA Engineer position. Looking for 6+ years of experience. Required skills: testing, cypress, junit, selenium. Must have strong analytical abilities. Hybrid work. Competitive salary and benefits.",89.76
"Backend with 7 years of experience. Proficient in postgresql, redis, python, rest api, java. Also skilled in node.js, microservices, mongodb, sql. Built multiple projects and worked in agile environment. Strong problem-solving skills.","Backend Developer position. Looking for 2+ years of experience. Required skills: mongodb, microservices, java, rest api, node.js, python, postgresql. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",91.94
"Software Engineer with 2 years of experience. Proficient in git, java, node.js, react, python. Also skilled in django, javascript, spring, sql. Built multiple projects and worked in startup environment. Strong communication skills.","Software Engineer position. Looking for 8+ years of experience. Required skills: react, sql, java, django, api, spring, git. Must have strong technical abilities. On-site work. Competitive salary and benefits.",58.35
"Software Engineer with 4 years of experience. Proficient in python, django, sql, api, spring. Also skilled in git, react. Built multiple projects and worked in agile environment. Strong teamwork skills.","Software Engineer position. Looking for 7+ years of experience. Required skills: api, git, spring, node.js, python, javascript. Must have strong analytical abilities. On-site work. Competitive salary and benefits.",59.41
"Full Stack with 2 years of experience. Proficient in javascript, typescript, html, express, mongodb. Also skilled in css, rest api, react, node.js. Built multiple projects and worked in agile environment. Strong teamwork skills.","Full Stack Developer position. Looking for 3+ years of experience. Required skills: typescript, express, mongodb, node.js, css. Must have strong technical abilities. Remote work. Competitive salary and benefits.",74.71
"Software Engineer with 9 years of experience. Proficient in sql, java, react, spring, django. Also skilled in api, javascript, git. Built multiple projects and worked in enterprise environment. Strong communication skills.","Software Engineer position. Looking for 2+ years of experience. Required skills: node.js, api, java, spring, javascript, git, django, react. Must have strong leadership abilities. Remote work. Competitive salary and benefits.",82.77
